id,hip,bayer,flam,con,proper,ra,dec,mag,full_letter,const_genitive,greek_ascii
584955,32349,Alp,9,CMa,Sirius,6.7525694,-16.71314306,-1.44,Alpha,Canis_Majoris,α 
531292,30438,Alp,,Car,Canopus,6.39919184,-52.69571799,-0.62,Alpha,Carinae,α 
1417320,69673,Alp,16,Boo,Arcturus,14.26120767,19.18727298,-0.05,Alpha,Boötis,α 
1451193,71683,Alp-1,,Cen,Rigil Kentaurus,14.66136069,-60.83514707,-0.01,Alpha,Centauri,α 
1892152,91262,Alp,3,Lyr,Vega,18.61560722,38.78299311,0.03,Alpha,Lyrae,α 
392532,24608,Alp,13,Aur,Capella,5.27813768,45.99902927,0.08,Alpha,Aurigae,α 
388910,24436,Bet,19,Ori,Rigel,5.24229757,-8.20163919,0.18,Beta,Orionis,β 
749263,37279,Alp,10,CMi,Procyon,7.65514946,5.22750767,0.4,Alpha,Canis_Minoris,α 
122757,7588,Alp,,Eri,Achernar,1.62854214,-57.23666007,0.45,Alpha,Eridani,α 
463434,27989,Alp,58,Ori,Betelgeuse,5.91952477,7.40703634,0.45,Alpha,Orionis,α 
1400378,68702,Bet,,Cen,Hadar,14.0637346,-60.3729784,0.61,Beta,Centauri,β 
2089783,97649,Alp,53,Aql,Altair,19.84630057,8.86738491,0.76,Alpha,Aquilae,α 
1269694,60718,Alp-1,,Cru,Acrux,12.44331706,-63.09905586,0.77,Alpha,Crucis,α 
333847,21421,Alp,87,Tau,Aldebaran,4.5986668,16.50976164,0.87,Alpha,Tauri,α 
1345269,65474,Alp,67,Vir,Spica,13.41989015,-11.16124491,0.98,Alpha,Virginis,α 
1620181,80763,Alp,21,Sco,Antares,16.49012987,-26.43194608,1.06,Alpha,Scorpii,α 
767229,37826,Bet,78,Gem,Pollux,7.75537884,28.02631031,1.16,Beta,Geminorum,β 
2469000,113368,Alp,24,PsA,Fomalhaut,22.96078488,-29.62183701,1.17,Alpha,Piscis_Austrini,α 
1296561,62434,Bet,,Cru,Mimosa,12.79536636,-59.68873246,1.25,Beta,Crucis,β 
2220894,102098,Alp,50,Cyg,Deneb,20.69053151,45.28033423,1.25,Alpha,Cygni,α 
1451151,71681,Alp-2,,Cen,Toliman,14.66094189,-60.83947139,1.35,Alpha,Centauri,α 
1063525,49669,Alp,32,Leo,Regulus,10.13957205,11.96719513,1.36,Alpha,Leonis,α 
624992,33579,Eps,21,CMa,Adhara,6.9770963,-28.97208931,1.5,Epsilon,Canis_Majoris,ε 
735275,36850,Alp,66,Gem,Castor,7.57666793,31.88863645,1.58,Alpha,Geminorum,α 
1275392,61084,Gam,,Cru,Gacrux,12.5194248,-57.11256922,1.59,Gamma,Crucis,γ 
1736373,85927,Lam,35,Sco,Shaula,17.56014625,-37.10374835,1.62,Lambda,Scorpii,λ 
407012,25336,Gam,24,Ori,Bellatrix,5.41885228,6.34973451,1.64,Gamma,Orionis,γ 
409060,25428,Bet,112,Tau,Elnath,5.43819387,28.60787346,1.65,Beta,Tauri,β 
966940,45238,Bet,,Car,Miaplacidus,9.22006689,-69.71747245,1.67,Beta,Carinae,β 
427355,26311,Eps,46,Ori,Alnilam,5.60355905,-1.20191725,1.69,Epsilon,Orionis,ε 
2389094,109268,Alp,,Gru,Alnair,22.13718789,-46.96061593,1.73,Alpha,Gruis,α 
435703,26727,Zet,50,Ori,Alnitak,5.67931245,-1.94257841,1.74,Zeta,Orionis,ζ 
832325,39953,Gam-2,,Vel,,8.15887648,-47.33661177,1.75,Gamma,Velorum,γ 
1304800,62956,Eps,77,UMa,Alioth,12.90045361,55.95984301,1.76,Epsilon,Ursae_Majoris,ε 
250909,15863,Alp,33,Per,Mirfak,3.40537459,49.86124281,1.79,Alpha,Persei,α 
1860159,90185,Eps,20,Sgr,Kaus Australis,18.40287398,-34.3843146,1.79,Epsilon,Sagittarii,ε 
1154608,54061,Alp,50,UMa,Dubhe,11.06217691,61.75111888,1.81,Alpha,Ursae_Majoris,α 
655257,34444,Del,25,CMa,Wezen,7.139857,-26.3932,1.83,Delta,Canis_Majoris,δ 
1377079,67301,Eta,85,UMa,Alkaid,13.79237392,49.31330288,1.85,Eta,Ursae_Majoris,η 
864482,41037,Eps,,Car,Avior,8.3752402,-59.50953829,1.86,Epsilon,Carinae,ε 
1744036,86228,The,,Sco,Sargas,17.62197938,-42.99782155,1.86,Theta,Scorpii,θ 
473063,28360,Bet,34,Aur,Menkalinan,5.99215817,44.94743492,1.9,Beta,Aurigae,β 
1652557,82273,Alp,,TrA,Atria,16.81108178,-69.02771555,1.91,Alpha,Trianguli_Australis,α 
564533,31681,Gam,24,Gem,Alhena,6.62852843,16.39941482,1.93,Gamma,Geminorum,γ 
913633,42913,Del,,Vel,Alsephina,8.74505481,-54.70856797,1.93,Delta,Velorum,δ 
2183027,100751,Alp,,Pav,Peacock,20.42745823,-56.73488071,1.94,Alpha,Pavonis,α 
191390,11767,Alp,1,UMi,Polaris,2.52975,89.264109,1.97,Alpha,Ursae_Minoris,α 
528279,30324,Bet,2,CMa,Mirzam,6.37832983,-17.95591658,1.98,Beta,Canis_Majoris,β 
992688,46390,Alp,30,Hya,Alphard,9.45979003,-8.65860165,1.99,Alpha,Hydrae,α 
160205,9884,Alp,13,Ari,Hamal,2.119555,23.462423,2.01,Alpha,Arietis,α 
1083342,50583,Gam-1,41,Leo,Algieba,10.3328227,19.84186032,2.01,Gamma,Leonis,γ 
56551,3419,Bet,16,Cet,Diphda,0.72649,-17.986605,2.04,Beta,Ceti,β 
1939772,92855,Sig,34,Sgr,Nunki,18.92108797,-26.29659428,2.05,Sigma,Sagittarii,σ 
1404493,68933,The,5,Cen,Menkent,14.11137449,-36.36995824,2.06,Theta,Centauri,θ 
11289,677,Alp,21,And,Alpheratz,0.13976889,29.09082805,2.07,Alpha,Andromedae,α 
89000,5447,Bet,43,And,Mirach,1.16220082,35.62055764,2.07,Beta,Andromedae,β 
448767,27366,Kap,53,Ori,Saiph,5.79594109,-9.66960186,2.07,Kappa,Orionis,κ 
